,0
825,plena uruguaya
826,choro
827,rave
828,luxembourgian indie
829,symphonic metal
830,elephant 6
831,neo-rockabilly
832,dutch r&b
833,dubstep
834,deep ragga
835,swedish punk
836,desert blues
837,italian punk
838,ghazal
839,czech hip hop
840,pop flamenco
841,baroque pop
842,rap feminino nacional
843,dark hardcore
844,folklore venezolano
845,italian mezzo-soprano
846,norwegian classical
847,polish prog
848,haryanvi pop
849,british comedy
850,english indie rock
851,basque folk
852,streichquartett
853,pinoy traditional
854,memphis blues
855,australian country
856,bardcore
857,mainland chinese pop
858,dunedin indie
859,russian dance
860,bluegrass
861,meme rap
862,carimbo
863,combos nacionales
864,rennes indie
865,australian indie
866,pop argentino
867,polyphonies corses
868,chicago rap
869,rap marseille
870,radio symphony
871,norwegian metal
872,vispop
873,korean punk
874,r&b
875,kirtan
876,glam punk
877,south african rock
878,post-punk
879,indie rock mexicano
880,brostep
881,baltic classical
882,hip hop
883,praise
884,canadian electropop
885,k-pop
886,early synthpop
887,deep big room
888,karadeniz turkuleri
889,irish rebel song
890,louisville indie
891,classic finnish pop
892,prog quebec
893,rock independant francais
894,bouncy house
895,nz reggae
896,persian alternative
897,fingerstyle
898,rock catala
899,harpsichord
900,taiwan campus folk
901,soviet synthpop
902,zhongguo feng
903,cumbia peruana
904,trap venezolano
905,galante era
906,hardcore hip hop
907,carnatic
908,charanga
909,fijian pop
910,vintage french electronic
911,manguebeat
912,power pop
913,kentucky indie
914,melodic dubstep
915,historic piano performance
916,uk dancehall
917,thai indie pop
918,sefardi
919,italian trance
920,old school hard trance
921,drift
922,heartland rock
923,semba
924,magyar alternative
925,afrikaans gospel
926,classic opm
927,lo-fi emo
928,pop rock
929,louvor icm
930,disney espanol
931,croatian rock
932,asian american hip hop
933,pop emo
934,edm
935,harmonikka
936,tamaulipas indie
937,sevillanas
938,latin classical
939,japanese dance pop
940,witch house
941,new romantic
942,ukrainian pop
943,c86
944,military band
945,albanian pop
946,cumbia salvadorena
947,british indie rock
948,ukrainian indie
949,marathi traditional
950,japanese new wave
951,irish pub song
952,gabba
953,drone metal
954,polish alternative rock
955,corridos tumbados
956,israeli classical piano
957,boom bap brasileiro
958,modern funk
959,czsk reggae
960,classic luk thung
961,italian violin
962,spanish post-punk
963,russian ccm
964,musica maranhense
965,buffalo ny metal
966,hoerspiel
967,historic orchestral performance
968,covertrance
969,martial industrial
970,acid rock
971,southern soul blues
972,nederpop
973,deep german indie
974,japanese teen pop
975,turkish pop
976,japanese soundtrack
977,tecnobrega
978,nepali indie
979,comedia
980,corsican folk
981,kundiman
982,vintage hollywood
983,korean r&b
984,ballroom
985,triangle indie
986,magyar trap
987,liedermacher
988,british folk
989,classic hungarian pop
990,blasmusik
991,khaliji
992,catalan folk
993,ontario indie
994,swedish drill
995,string quartet
996,indonesian reggae
997,stoner rock
998,jazztronica
999,new orleans funk
1000,freakbeat
1001,virginia hip hop
1002,cuarteto
1003,boogaloo
1004,quebec punk
1005,spanish hip hop
1006,danish pop
1007,visor
1008,swiss indie folk
1009,deep tech house
1010,ambient
1011,pop r&b
1012,folk rock italiano
1013,russian hip hop
1014,portuguese indie
1015,neo-synthpop
1016,german tech house
1017,pop urbaine
1018,afrofuturism
1019,reggae
1020,japanese concert band
1021,denpa-kei
1022,tex-mex
1023,marathi devotional
1024,pagode
1025,swedish indie pop
1026,german metal
1027,eurobeat
1028,new beat
1029,american post-rock
1030,bedroom soul
1031,country gospel
1032,minimal melodic techno
1033,roots rock
1034,canadian contemporary r&b
1035,children's folk
1036,moog
1037,reading
1038,french folk
1039,corrosion
1040,barbadian pop
1041,classic nepali pop
1042,british choir
1043,peruvian punk
1044,sertanejo tradicional
1045,ska punk
1046,russian alternative rock
1047,swedish electropop
1048,new wave of thrash metal
1049,psychedelic blues-rock
1050,korean electropop
1051,classic iskelma
1052,canadian metal
1053,hungarian classical piano
1054,gyerekdalok
1055,brazilian metal
1056,rock piauiense
1057,psicodelia brasileira
1058,neo mellow
1059,russian ska
1060,indonesian punk
1061,ghanaian hip hop
1062,música pitiusa
1063,cueca chilena
1064,korean indie rock
1065,bronx hip hop
1066,fo jing
1067,finnish hip hop
1068,minimal wave
1069,thai trap
1070,motown
1071,moroccan pop
1072,deep new wave
1073,classic bulgarian pop
1074,rap kreyol
1075,oceania soundtrack
1076,classic israeli pop
1077,jazz double bass
1078,candy pop
1079,oxford indie
1080,ukrainian rock
1081,italian progressive rock
1082,japanese metalcore
1083,lgbtq+ hip hop
1084,modern rock
1085,metal
1086,wassoulou
1087,punk euskera
1088,dirty south rap
1089,czech punk
1090,french folk pop
1091,german literature
1092,neurostep
1093,belgian jazz
1094,medieval rock
1095,macedonian pop
1096,contemporary choir
1097,cool jazz
1098,russian folk rock
1099,swazi pop
1100,south african pop
1101,cello
1102,greek indie
1103,reggae cover
1104,chanson
1105,new mexico music
1106,spanish metal
1107,polynesian pop
1108,azeri pop
1109,psychobilly
1110,italian adult pop
1111,bow pop
1112,indonesian folk pop
1113,electra
1114,classic czech pop
1115,classical guitar
1116,classic praise
1117,shimmer pop
1118,musica andina
1119,guadalajara indie
1120,traditional ska
1121,chalga
1122,mandolin
1123,musica alagoana
1124,dutch hip hop
1125,melodic thrash
1126,musica colombiana instrumental
1127,pop violin
1128,moravian folk
1129,classic j-pop
1130,turkish alternative
1131,modern jazz piano
1132,deep adult standards
1133,calypso
1134,electro swing
1135,p funk
1136,jazz chileno
1137,french punk
1138,singer-songwriter
1139,noise pop
1140,sanfona
1141,metal guitar
1142,classic peruvian pop
1143,neue deutsche harte
1144,ukrainian hip hop
1145,vintage gospel
1146,wave
1147,colombian indie
1148,musica calabrese
1149,musica afroperuana
1150,french classical piano
1151,irish pop
1152,german trap
1153,swedish idol pop
1154,brega funk
1155,swedish garage rock
1156,norwegian americana
1157,psychedelic trance
1158,girl group
1159,irish fiddle
1160,corrido
1161,sesotho pop
1162,freestyle
1163,funk pop
1164,crunk
1165,nu disco
1166,turbo folk
1167,athens indie
1168,brazilian hardcore
1169,coupe-decale
1170,german baroque
1171,dmv rap
1172,mexican pop
1173,african rock
1174,irish gaelic folk
1175,lo-fi
1176,brega
1177,ninja
1178,thrash metal
1179,cowboy western
1180,swedish rock-and-roll
1181,chamber pop
1182,acid house
1183,armenian folk
1184,israeli pop
1185,reggae en espanol
1186,indian folk
1187,rap underground mexicano
1188,latin afrobeat
1189,finnish folk
1190,blackened crust
1191,israeli indie
1192,cyber metal
1193,argentine rock
1194,portuguese rock
1195,viral pop
1196,electronica argentina
1197,cocuk masallari
1198,stoner metal
1199,comedy
1200,folclor colombiano
1201,variete francaise
1202,vintage spanish pop
1203,rawstyle
1204,eventyr
1205,german cloud rap
1206,sholawat
1207,bolivian metal
1208,japanese contemporary classical
1209,deep punk rock
1210,rap underground espanol
1211,mexican rock-and-roll
1212,uk worship
1213,australian psych
1214,gothenburg indie
1215,israeli mediterranean
1216,chill guitar
1217,funky house
1218,slovak electronic
1219,indie garage rock
1220,nashville indie
1221,old school uk hip hop
1222,swedish post-punk
1223,classic azeri pop
1224,coldwave
1225,indie emo
1226,thai idol
1227,oud
1228,screamo
1229,musica yucateca
1230,deep house
1231,indie pop
1232,shibuya-kei
1233,math rock
1234,ukrainian choir
1235,classical baritone
1236,polish classical
1237,taiwan idol pop
1238,pianissimo
1239,atl hip hop
1240,nashville sound
1241,dubsteppe
1242,progressive metal
1243,japanese r&b
1244,waiata mo tamariki
1245,yiddish folk
1246,son cubano
1247,irish banjo
1248,american folk revival
1249,dutch rap pop
1250,scandinavian r&b
1251,samba moderno
1252,french metal
1253,darbuka
1254,texas latin rap
1255,russian indie
1256,latin hip hop
1257,ska mexicano
1258,batak
1259,modern southern rock
1260,vapor soul
1261,finnish dance pop
1262,singaporean hip hop
1263,anarcho-punk
1264,jewish pop
1265,norwegian hip hop
1266,cantonese worship
1267,brighton indie
1268,synth funk
1269,progressive uplifting trance
1270,rap rock
1271,funana
1272,new jack swing
1273,tropicalia
1274,eurovision
1275,rock goiano
1276,deep christian rock
1277,jazz brass
1278,tempe indie
1279,nova musica paulista
1280,lo star
1281,regional mexican
1282,gypsy
1283,dream pop
1284,trap peruano
1285,rogaland indie
1286,japanese rockabilly
1287,swiss hip hop
1288,spanish reggae
1289,hong kong rock
1290,turkish reggae
1291,folk brasileiro
1292,pokemon
1293,dainuojamoji poezija
1294,russian heavy metal
1295,lithuanian edm
1296,basshall
1297,frenchcore
1298,icelandic experimental
1299,classical trumpet
1300,welsh metal
1301,argentine punk
1302,cali rap
1303,reggaeton colombiano
1304,early reggae
1305,euskal musica
1306,violao
1307,rap inde
1308,ambient pop
1309,brass band
1310,oakland hip hop
1311,north carolina metal
1312,okinawan pop
1313,ritmo kombina
1314,reggae tico
1315,gaita zuliana
1316,morna
1317,arpa paraguaya
1318,nz christian
1319,ebm
1320,afropop
1321,gospel
1322,crossover thrash
1323,french synthpop
1324,japanese dream pop
1325,brazilian punk
1326,italian orchestra
1327,classic french pop
1328,anthem worship
1329,russian punk
1330,tuna
1331,nashville singer-songwriter
1332,nwothm
1333,instrumental surf
1334,indonesian edm
1335,classic anime
1336,action rock
1337,harmonica jazz
1338,australian ska
1339,folk metal
1340,highlife
1341,french shoegaze
1342,christian hardcore
1343,bangla
1344,zim urban groove
1345,downtempo
1346,roots americana
1347,chilean rock
1348,nu gaze
1349,song poem
1350,british brass band
1351,classic portuguese pop
1352,brazilian classical piano
1353,russian dance pop
1354,classic swedish pop
1355,ska chileno
1356,pop lgbtq+ brasileira
1357,spanish modern rock
1358,opera metal
1359,punk blues
1360,neofolk
1361,breton folk
1362,swiss black metal
1363,blues latinoamericano
1364,icelandic rock
1365,indian fusion
1366,polish contemporary classical
1367,phleng phuea chiwit
1368,christian punk
1369,mexican rock
1370,finnish black metal
1371,taiwan singer-songwriter
1372,rock keyboard
1373,cubaton
1374,new jersey indie
1375,brazilian rock
1376,appalachian folk
1377,boeremusiek
1378,neoclassicism
1379,turkish trap pop
1380,popping
1381,australian jazz
1382,rap algerien
1383,folk
1384,brazilian gospel
1385,indonesian hardcore
1386,folk-pop
1387,dangdut
1388,kolsche karneval
1389,disney italiano
1390,ska revival
1391,blaskapelle
1392,uk house
1393,post-metal
1394,gospel r&b
1395,protopunk
1396,british death metal
1397,russian classical piano
1398,brazilian ccm
1399,acousmatic
1400,italian soundtrack
1401,japanese jazz fusion
1402,classic rock
1403,trip hop
1404,french tech house
1405,narodna muzika
1406,electro jazz
1407,indian rock
1408,cumbia santafesina
1409,folklore ecuatoriano
1410,salsa
1411,swedish jazz orkester
1412,deep groove house
1413,ilocano pop
1414,auckland indie
1415,dutch trance
1416,horror punk
1417,polish techno
1418,minimal techno
1419,trot
1420,szanty
1421,edmonton indie
1422,indie boliviano
1423,taiwan indie
1424,psalmen
1425,german techno
1426,taiwan hip hop
1427,serialism
1428,clean comedy
1429,mande pop
1430,italian underground hip hop
1431,funk metal
1432,classic house
1433,classic tollywood
1434,turkish soundtrack
1435,accordion
1436,talent show
1437,indie anthem-folk
1438,romanian rock
1439,flute rock
1440,german classical piano
1441,rap metal espanol
1442,bulgarian hip hop
1443,malaysian punk
1444,tagalog worship
1445,papuri
1446,russian indie rock
1447,argentine hip hop
1448,transpop
1449,vintage norwegian pop
1450,malaysian pop
1451,folkmusik
1452,batidao romantico
1453,louisville underground
1454,japanese classical
1455,florida death metal
1456,ska jazz
1457,swiss indie
1458,electric blues
1459,french renaissance
1460,panamanian rock
1461,medieval ensemble
1462,musica sarda
1463,american contemporary classical
1464,hawaiian
1465,albanian hip hop
1466,classic pakistani pop
1467,mgp
1468,bolivian rock
1469,swedish power metal
1470,welsh folk
1471,indonesian pop
1472,vancouver indie
1473,northwest china indie
1474,rap
1475,deep norteno
1476,viola da gamba
1477,mexican hip hop
1478,world fusion
1479,brazilian edm
1480,danish punk
1481,chinderlieder
1482,piano rock
1483,xinyao
1484,new americana
1485,post-black metal
1486,baroque ensemble
1487,pinoy rock
1488,indie rock
1489,glitch
1490,tuna estudiantil
1491,electro-industrial
1492,classic greek pop
1493,funk paulista
1494,french post-punk
1495,oberkrainer
1496,classic kollywood
1497,world
1498,drill espanol
1499,musica valenciana
1500,cologne indie
1501,finnish melodeath
1502,laiko
1503,funeral doom
1504,irish indie rock
1505,electro latino
1506,latin worship
1507,danish choir
1508,iskelma
1509,japanese garage rock
1510,chinese soundtrack
1511,intelligent dance music
1512,yugoslav new wave
1513,french dub
1514,mellow gold
1515,german power metal
1516,modern alternative rock
1517,german soundtrack
1518,latin talent show
1519,bard
1520,australian alternative rock
1521,kleinkunst
1522,nuevo regional mexicano
1523,belgian hip hop
1524,norske viser
1525,deutsch disney
1526,slowcore
1527,canadian classical piano
1528,madchester
1529,dark electro
1530,sleaze rock
1531,dancehall
1532,funk das antigas
1533,zouglou
1534,polish blues
1535,bush ballad
1536,opera
1537,oklahoma country
1538,salsa choke
1539,rumba catalana
1540,christian a cappella
1541,musica crista reformada
1542,turkish modern jazz
1543,brass ensemble
1544,turkish instrumental
1545,azonto
1546,hardingfele
1547,rhythm and blues
1548,indie catala
1549,ye ye
1550,portland indie
1551,cosmic american
1552,bachata
1553,german reggae
1554,malayalam worship
1555,romanian indie
1556,limerick indie
1557,visual kei
1558,dance rock
1559,drill francais
1560,disco polo
1561,malaysian hip hop
1562,indie poptimism
1563,norwegian country
1564,chinese viral pop
1565,hawaiian hip hop
1566,oulu metal
1567,australian alternative pop
1568,spiritual hip hop
1569,classical bass
1570,lithuanian hip hop
1571,austrian indie
1572,classic konkani pop
1573,uk post-punk
1574,rock drums
1575,german dance
1576,orkney and shetland folk
1577,twee pop
1578,queens hip hop
1579,military rap
1580,russian pop punk
1581,french indietronica
1582,yoik
1583,australian rock
1584,marimba orquesta
1585,finnish tango
1586,taiwan instrumental
1587,nigerian pop
1588,german pop
1589,big band
1590,cante flamenco
1591,french romanticism
1592,azontobeats
1593,rock cristiano
